cpt_code,par_amount,state
G0076,53.38,1
G0077,76.46,1
G0078,125.98,1
G0079,176.29,1
G0080,213.99,1
G0081,53.34,1
G0082,81.44,1
G0083,124.68,1
G0084,173,1
G0085,213.99,1
G0086,73.92,1
G0087,103.11,1
G0101,36.85,1
G0101,26.57,1
G0102,21.08,1
G0102,8.55,1
G0104,161.6,1
G0104,53.36,1
G0105,309.04,1
G0105,178.31,1
G0105,176.19,1
G0105,88.82,1
G0106,194.44,1
G0106,143.1,1
G0106,51.34,1
G0108,53.55,1
G0109,14.97,1
G0117,51.74,1
G0118,39.87,1
G0120,195.45,1
G0120,143.1,1
G0120,52.35,1
G0121,309.37,1
G0121,178.65,1
G0121,279.78,1
G0121,88.99,1
G0124,24.33,1
G0127,22.04,1
G0127,7.59,1
G0128,6.59,1
G0130,32.36,1
G0130,21.37,1
G0130,11,1
G0141,24.33,1
G0166,92.36,1
G0168,97.63,1
G0168,17.65,1
G0179,38.26,1
G0180,50.07,1
G0181,102.18,1
G0182,102.82,1
G0237,8.2,1
G0238,8.52,1
G0239,10.77,1
G0245,62.79,1
G0245,41.59,1
G0246,36.49,1
G0246,20.43,1
G0247,73.95,1
G0247,22.23,1
G0248,52.37,1
G0249,52.52,1
G0250,8.91,1
G0268,46.97,1
G0268,31.87,1
G0270,31.03,1
G0270,27.5,1
G0271,16.26,1
G0271,15.29,1
G0276,365.46,1
G0277,122.71,1
G0278,12.92,1
G0279,51.71,1
G0279,22.48,1
G0279,29.22,1
G0281,13.09,1
G0283,13.09,1
G0288,30.41,1
G0289,81.87,1
G0296,27.96,1
G0296,26.03,1
G0297,218.33,1
G0297,168.47,1
G0297,49.85,1
G0329,10.36,1
G0341,"1,938.90",1
G0341,352.5,1
G0342,661.28,1
G0343,"1,091.66",1
G0372,8.87,1
G0396,34.57,1
G0396,32,1
G0397,64.82,1
G0397,62.25,1
G0402,157.65,1
G0402,122.64,1
G0403,15.78,1
G0404,7.55,1
G0405,8.23,1
G0406,37.58,1
G0407,69.49,1
G0408,100.04,1
G0409,11.73,1
G0412,684.34,1
G0413,"1,001.81",1
G0414,945.67,1
G0415,"1,291.52",1
G0416,322.54,1
G0416,144.08,1
G0416,178.46,1
G0420,108.39,1
G0421,25.29,1
G0422,103.13,1
G0423,103.13,1
G0424,27.78,1
G0424,13.65,1
G0425,96.2,1
G0426,130.92,1
G0427,193.92,1
G0429,91.68,1
G0429,66.63,1
G0438,161.5,1
G0439,108.96,1
G0442,16.94,1
G0442,9.23,1
G0443,25.09,1
G0443,22.85,1
G0444,16.94,1
G0444,9.23,1
G0445,26.38,1
G0445,22.85,1
G0446,25.09,1
G0446,22.85,1
G0447,25.09,1
G0447,22.85,1
G0451,8.84,1
G0452,18.18,1
G0453,31.81,1
G0454,8.91,1
G0455,119.92,1
G0455,69.81,1
G0459,40.9,1
G0460,196.28,1
G0460,119.2,1
G0473,12.32,1
G0473,11.36,1
G0500,51.48,1
G0500,5.23,1
G0506,59.06,1
G0506,43.97,1
G0508,201.75,1
G0509,186.57,1
G0513,62.68,1
G0513,59.15,1
G0514,62.52,1
G0514,59.3,1
G0516,243.01,1
G0516,106.5,1
G0517,229.25,1
G0517,112.01,1
G0518,483.68,1
G0518,198.45,1
G2001,53.38,1
G2002,76.46,1
G2003,125.98,1
G2004,176.29,1
G2005,213.99,1
G2006,53.34,1
G2007,81.44,1
G2008,124.68,1
G2009,173,1
G2010,11.48,1
G2010,8.91,1
G2011,16.27,1
G2012,13.85,1
